NAME    DB      $00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00
        DB      $00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00
        DB      $00,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01
        DB      $01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$00
        DB      $00,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01
        DB      $01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$03,$04,$05,$00
        DB      $00,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01
        DB      $01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$06,$07,$08,$09,$00
        DB      $00,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01
        DB      $01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$0A,$0B,$0C,$0D,$0E,$00
        DB      $00,$0F,$10,$11,$01,$12,$13,$01,$01,$01,$10,$11,$01,$12,$14,$01
        DB      $01,$15,$01,$01,$01,$01,$01,$01,$01,$01,$16,$17,$18,$19,$1A,$00
        DB      $00,$1B,$1C,$1D,$1E,$1F,$20,$21,$22,$23,$24,$25,$26,$27,$28,$29
        DB      $2A,$2B,$2C,$2D,$2E,$2F,$30,$31,$01,$03,$32,$33,$34,$35,$36,$00
        DB      $00,$01,$01,$01,$01,$37,$38,$39,$3A,$3B,$3C,$3D,$3E,$3F,$40,$41
        DB      $01,$01,$01,$01,$01,$42,$43,$44,$45,$46,$47,$48,$46,$47,$48,$00
        DB      $00,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01
        DB      $01,$01,$01,$01,$49,$4A,$4B,$4C,$4D,$4E,$4F,$50,$4E,$4F,$50,$00
        DB      $00,$51,$52,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01
        DB      $01,$01,$01,$53,$54,$55,$56,$57,$58,$59,$5A,$5B,$59,$5A,$5B,$00
        DB      $00,$5C,$5D,$5E,$5F,$12,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01
        DB      $01,$01,$01,$60,$61,$62,$63,$64,$65,$66,$67,$68,$66,$67,$68,$00
        DB      $00,$69,$01,$6A,$6B,$6C,$6D,$6E,$01,$01,$01,$01,$01,$01,$01,$01
        DB      $01,$01,$01,$6F,$70,$71,$72,$73,$74,$75,$76,$77,$75,$76,$77,$00
        DB      $00,$78,$01,$01,$79,$7A,$7B,$7C,$7D,$01,$01,$01,$01,$01,$01,$01
        DB      $01,$01,$7E,$7F,$80,$81,$82,$83,$84,$85,$86,$87,$85,$86,$87,$00
        DB      $00,$88,$01,$89,$8A,$8B,$8C,$01,$8D,$8E,$01,$01,$01,$01,$30,$31
        DB      $01,$01,$8F,$71,$72,$90,$91,$92,$93,$94,$95,$96,$94,$95,$96,$00
        DB      $00,$97,$98,$99,$9A,$9B,$9C,$9D,$9E,$9F,$A0,$01,$01,$42,$43,$44
