NAME    DB      $00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00
        DB      $00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00
        DB      $00,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02
        DB      $02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$00
        DB      $00,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02
        DB      $02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$04,$05,$06,$00
        DB      $00,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02
        DB      $02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$07,$08,$09,$0A,$00
        DB      $00,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02
        DB      $02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$0B,$0C,$0D,$0E,$0F,$00
        DB      $00,$10,$11,$12,$02,$13,$14,$02,$02,$02,$11,$12,$02,$13,$15,$02
        DB      $02,$16,$02,$02,$02,$02,$02,$02,$02,$02,$17,$18,$19,$1A,$1B,$00
        DB      $00,$1C,$1D,$1E,$1F,$20,$21,$22,$23,$24,$25,$26,$27,$28,$29,$2A
        DB      $2B,$2C,$2D,$2E,$2F,$30,$31,$32,$02,$04,$33,$34,$35,$36,$37,$00
        DB      $00,$02,$02,$02,$02,$38,$39,$3A,$3B,$3C,$3D,$3E,$3F,$40,$41,$42
        DB      $02,$02,$02,$02,$02,$43,$44,$45,$46,$47,$48,$49,$47,$48,$49,$00
        DB      $00,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02
        DB      $02,$02,$02,$02,$4A,$4B,$4C,$4D,$4E,$4F,$50,$51,$4F,$50,$51,$00
        DB      $00,$52,$53,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02
        DB      $02,$02,$02,$54,$55,$56,$57,$58,$59,$5A,$5B,$5C,$5A,$5B,$5C,$00
        DB      $00,$5D,$5E,$4A,$5F,$13,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02
        DB      $02,$02,$02,$60,$61,$62,$63,$64,$65,$66,$67,$68,$66,$67,$68,$00
        DB      $00,$69,$02,$6A,$6B,$6C,$6D,$6E,$02,$02,$02,$02,$02,$02,$02,$02
        DB      $02,$02,$02,$6F,$70,$71,$72,$73,$74,$75,$76,$77,$75,$76,$77,$00
        DB      $00,$78,$02,$02,$79,$7A,$7B,$7C,$7D,$02,$02,$02,$02,$02,$02,$02
        DB      $02,$02,$7E,$7F,$80,$81,$82,$83,$84,$85,$86,$87,$85,$86,$87,$00
        DB      $00,$88,$02,$89,$8A,$8B,$8C,$02,$8D,$8E,$02,$02,$02,$02,$31,$32
        DB      $02,$02,$8F,$71,$72,$90,$91,$92,$93,$94,$95,$96,$94,$95,$96,$00
        DB      $00,$97,$98,$99,$9A,$9B,$9C,$9D,$9E,$9F,$A0,$02,$02,$43,$44,$45
