NAME    DB      $00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00
        DB      $00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00
        DB      $00,$01,$01,$01,$01,$01,$02,$03,$04,$01,$01,$01,$01,$01,$01,$01
        DB      $01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$00
        DB      $00,$01,$01,$01,$01,$05,$06,$07,$08,$09,$01,$01,$01,$01,$01,$01
        DB      $01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$00
        DB      $00,$01,$01,$01,$0A,$0B,$0C,$0D,$0E,$0F,$02,$01,$01,$01,$01,$01
        DB      $01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$00
        DB      $00,$01,$01,$01,$10,$11,$0E,$12,$13,$14,$15,$01,$01,$01,$01,$01
        DB      $01,$01,$01,$01,$16,$01,$01,$01,$01,$01,$01,$01,$01,$01,$01,$00
        DB      $00,$01,$01,$01,$17,$18,$13,$19,$1A,$1B,$1C,$1D,$01,$01,$01,$01
        DB      $01,$01,$01,$01,$1E,$1F,$01,$01,$01,$01,$01,$01,$01,$01,$01,$00
        DB      $00,$01,$01,$01,$20,$21,$22,$23,$24,$25,$26,$27,$01,$01,$01,$01
        DB      $01,$01,$01,$01,$28,$29,$01,$01,$01,$01,$01,$01,$01,$01,$01,$00
        DB      $00,$01,$01,$01,$01,$2A,$2B,$2C,$2D,$2E,$2F,$30,$01,$01,$01,$01
        DB      $01,$01,$01,$31,$32,$33,$34,$01,$01,$01,$01,$01,$01,$01,$01,$00
        DB      $00,$01,$01,$01,$01,$01,$35,$36,$37,$38,$39,$3A,$01,$01,$01,$01
        DB      $01,$01,$01,$3B,$3C,$3D,$3E,$01,$01,$01,$01,$01,$01,$01,$01,$00
        DB      $00,$01,$01,$01,$01,$01,$01,$3F,$40,$41,$42,$01,$01,$01,$01,$01
        DB      $01,$01,$01,$43,$44,$45,$46,$01,$01,$01,$01,$01,$01,$01,$01,$00
        DB      $00,$01,$01,$01,$01,$01,$01,$47,$48,$49,$01,$01,$01,$4A,$01,$01
        DB      $01,$01,$01,$4B,$4C,$4D,$4E,$01,$01,$01,$01,$01,$01,$01,$01,$00
        DB      $00,$01,$01,$01,$01,$01,$01,$4F,$50,$01,$01,$01,$51,$52,$53,$01
        DB      $01,$01,$01,$54,$55,$56,$57,$01,$01,$01,$01,$01,$01,$01,$01,$00
        DB      $00,$01,$01,$01,$58,$59,$01,$5A,$5B,$01,$01,$01,$5C,$5C,$5D,$01
        DB      $01,$01,$01,$5E,$5F,$60,$61,$01,$01,$01,$01,$01,$01,$01,$01,$00
        DB      $00,$01,$01,$01,$62,$63,$64,$65,$66,$67,$68,$69,$5C,$5C,$5C,$01
        DB      $01,$01,$01,$6A,$6B,$6C,$6D,$01,$01,$01,$01,$01,$01,$01,$6E,$00
        DB      $00,$6F,$70,$71,$72,$5C,$73,$74,$75,$76,$77,$78,$5C,$5C,$5C,$79
